event,eventLabel,date
http://www.wikidata.org/entity/Q116432807,shooting of Abby Zwerner,2023-01-06T00:00:00Z
http://www.wikidata.org/entity/Q116432807,shooting of Abby Zwerner,2023-01-06T00:00:00Z
http://www.wikidata.org/entity/Q116453801,death of Manuel Esteban Paez Terán,2023-01-18T00:00:00Z
http://www.wikidata.org/entity/Q115941150,Décès et funérailles du pape Benoît XVI,2023-01-05T00:00:00Z
http://www.wikidata.org/entity/Q116588367,"Lab-Space: ""Quo vadis? Wie wirtschaften wir in Zukunft? Welche Rolle spielen Netzwerkökonomie, Kooperationen und Kollaborationen?“",2023-01-25T00:00:00Z
http://www.wikidata.org/entity/Q116449996,Saratoga Investment Summit  2023,2023-01-26T00:00:00Z
http://www.wikidata.org/entity/Q116213465,Wikipedia:Meetup/Sabah 10,2023-01-15T00:00:00Z
http://www.wikidata.org/entity/Q116213308,Wikimeetup in Saint Petersburg 2023-01-15,2023-01-15T00:00:00Z
http://www.wikidata.org/entity/Q116207725,Wikimeetup in Almaty 2023-01-15,2023-01-15T00:00:00Z
http://www.wikidata.org/entity/Q116207593,Wikipedia:Meetup/Selangor 3,2023-01-15T00:00:00Z
http://www.wikidata.org/entity/Q116200110,Wikimeetup in Astana 2023-01-14,2023-01-14T00:00:00Z
http://www.wikidata.org/entity/Q116187288,Indonesia PE-VC Summit 2023,2023-01-12T00:00:00Z
http://www.wikidata.org/entity/Q116161696,Wikimeetup in Almaty 2023-01-09,2023-01-09T00:00:00Z
http://www.wikidata.org/entity/Q116264859,2023 Australia Day Honours,2023-01-26T00:00:00Z
http://www.wikidata.org/entity/Q116250881,Wiki Loves Marche 2022 award ceremony,2023-01-07T00:00:00Z
http://www.wikidata.org/entity/Q116228826,21st Golden Eagle Award,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116106584,10e cérémonie des prix Feroz,2023-01-28T00:00:00Z
http://www.wikidata.org/entity/Q115703197,Prix Gaudí 2023,2023-01-22T00:00:00Z
http://www.wikidata.org/entity/Q116527576,Isaac Herzog in an official visit to the European Union in Brussels,2023-01-25T00:00:00Z
http://www.wikidata.org/entity/Q116592970,"Benidorm Fest 2023, first semi final",2023-01-31T00:00:00Z
http://www.wikidata.org/entity/Q116592940,2023 Evansville shooting,2023-01-20T00:00:00Z
http://www.wikidata.org/entity/Q116586449,2023 Omaha shooting,2023-01-31T00:00:00Z
http://www.wikidata.org/entity/Q116444923,Brokstedt stabbing,2023-01-25T00:00:00Z
http://www.wikidata.org/entity/Q116432807,shooting of Abby Zwerner,2023-01-06T00:00:00Z
http://www.wikidata.org/entity/Q116432807,shooting of Abby Zwerner,2023-01-06T00:00:00Z
http://www.wikidata.org/entity/Q116455185,attentat du 27 janvier 2023 à Jérusalem,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116455185,attentat du 27 janvier 2023 à Jérusalem,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116455185,attentat du 27 janvier 2023 à Jérusalem,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116453532,Algeciras church attacks,2023-01-25T00:00:00Z
http://www.wikidata.org/entity/Q115651366,Patrimoine Beveren Athénée royal,2023-01-30T00:00:00Z
http://www.wikidata.org/entity/Q116227461,World Economic Forum Annual Meeting 2023,2023-01-16T00:00:00Z
http://www.wikidata.org/entity/Q116444885,Massacre de Makugwe,2023-01-22T00:00:00Z
http://www.wikidata.org/entity/Q116157301,massacre de Juliaca,2023-01-09T00:00:00Z
http://www.wikidata.org/entity/Q115978146,référendum constitutionnel liechtensteinois de 2023,2023-01-29T00:00:00Z
http://www.wikidata.org/entity/Q115253367,Référendum slovaque de 2023,2023-01-21T00:00:00Z
http://www.wikidata.org/entity/Q116453656,"Chittagong Wikipedia meetup, January 2019",2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116401377,resignation of Jacinda Ardern,2023-01-25T00:00:00Z
http://www.wikidata.org/entity/Q115679925,Forum de l'Énergie,2023-01-07T00:00:00Z
http://www.wikidata.org/entity/Q116550551,Marshall McLuhan Lecture 2023,2023-01-31T00:00:00Z
http://www.wikidata.org/entity/Q116287123,2023 Speaker of the Chamber of Deputies of Brazil election,2023-02-01T00:00:00Z
http://www.wikidata.org/entity/Q115822001,2023 Speaker of the United States House of Representatives election,2023-01-03T00:00:00Z
http://www.wikidata.org/entity/Q107015999,Next Tripura Legislative Assembly election,2023-02-01T00:00:00Z
http://www.wikidata.org/entity/Q106958035,Next Meghalaya Legislative Assembly election,2023-02-01T00:00:00Z
http://www.wikidata.org/entity/Q115736363,École d'hiver EnExDi 2023,2023-01-23T00:00:00Z
http://www.wikidata.org/entity/Q116142348,Assaut du Congrès brésilien de 2023,2023-01-08T00:00:00Z
http://www.wikidata.org/entity/Q109265764,Miss Univers 2022,2023-01-14T00:00:00Z
http://www.wikidata.org/entity/Q116009726,Les Steam Awards 2022,2023-01-03T00:00:00Z
http://www.wikidata.org/entity/Q115730732,58th Guldbagge 57th Guldbagge Awards,2023-01-23T00:00:00Z
http://www.wikidata.org/entity/Q115147530,Wiki Loves Folklore 2023 in Bangladesh,2023-02-01T00:00:00Z
http://www.wikidata.org/entity/Q115147530,Wiki Loves Folklore 2023 in Bangladesh,2023-02-01T00:00:00Z
http://www.wikidata.org/entity/Q115147530,Wiki Loves Folklore 2023 in Bangladesh,2023-02-01T00:00:00Z
http://www.wikidata.org/entity/Q115147530,Wiki Loves Folklore 2023 in Bangladesh,2023-02-01T00:00:00Z
http://www.wikidata.org/entity/Q116035865,Reinado Internacional del Café 2023,2023-01-08T00:00:00Z
http://www.wikidata.org/entity/Q115679925,Forum de l'Énergie,2023-01-07T00:00:00Z
http://www.wikidata.org/entity/Q115804584,25th Arabian Gulf Cup knockout stage,2023-01-19T00:00:00Z
http://www.wikidata.org/entity/Q115142095,2022 Supercopa Uruguaya,2023-01-29T00:00:00Z
http://www.wikidata.org/entity/Q116180935,2023 Nanchang County transport accident,2023-01-08T00:00:00Z
http://www.wikidata.org/entity/Q116172589,Panne du système de la Federal Aviation Administration de 2023 aux États-Unis,2023-01-11T00:00:00Z
http://www.wikidata.org/entity/Q116143149,Federal intervention in the Distrito Federal in 2023,2023-01-08T00:00:00Z
http://www.wikidata.org/entity/Q116142348,Assaut du Congrès brésilien de 2023,2023-01-08T00:00:00Z
http://www.wikidata.org/entity/Q116142348,Assaut du Congrès brésilien de 2023,2023-01-08T00:00:00Z
http://www.wikidata.org/entity/Q116447133,26 January 2023 nationwide missile strikes on Ukraine,2023-01-26T00:00:00Z
http://www.wikidata.org/entity/Q116207054,14 January 2023 nationwide missile strikes on Ukraine,2023-01-14T00:00:00Z
http://www.wikidata.org/entity/Q116401377,resignation of Jacinda Ardern,2023-01-25T00:00:00Z
http://www.wikidata.org/entity/Q116259622,Q116259622,2023-01-21T00:00:00Z
http://www.wikidata.org/entity/Q116603633,Q116603633,2023-01-28T00:00:00Z
http://www.wikidata.org/entity/Q116603633,Q116603633,2023-01-28T00:00:00Z
http://www.wikidata.org/entity/Q115147919,Feminism and Folklore 2023,2023-02-01T00:00:00Z
http://www.wikidata.org/entity/Q116207838,Wikivoyage's 10th birthday,2023-01-16T00:00:00Z
http://www.wikidata.org/entity/Q116445103,massacre du 26 janvier 2023 à Jénine,2023-01-26T00:00:00Z
http://www.wikidata.org/entity/Q116445103,massacre du 26 janvier 2023 à Jénine,2023-01-26T00:00:00Z
http://www.wikidata.org/entity/Q116205343,vol Yeti Airlines 691,2023-01-15T00:00:00Z
http://www.wikidata.org/entity/Q116269542,Q116269542,2023-01-16T00:00:00Z
http://www.wikidata.org/entity/Q115817920,Q115817920,2023-01-05T00:00:00Z
http://www.wikidata.org/entity/Q115754512,24 Heures de Daytona 2023,2023-01-28T00:00:00Z
http://www.wikidata.org/entity/Q115683123,UFC Fight Night: Gastelum vs. Imavov,2023-01-14T00:00:00Z
http://www.wikidata.org/entity/Q113613998,UFC 283,2023-01-21T00:00:00Z
http://www.wikidata.org/entity/Q116270722,2023 Ramstein Air Base meeting,2023-01-20T00:00:00Z
http://www.wikidata.org/entity/Q116262896,Public Domain Day 2023,2023-01-13T00:00:00Z
http://www.wikidata.org/entity/Q116286589,IDF chiefs of Staff change of command ceremony,2023-01-16T00:00:00Z
http://www.wikidata.org/entity/Q116455499,2023 Auckland floods,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116363102,Q116363102,2023-01-21T00:00:00Z
http://www.wikidata.org/entity/Q116303652,Q116303652,2023-01-19T00:00:00Z
http://www.wikidata.org/entity/Q116250059,Q116250059,2023-01-11T00:00:00Z
http://www.wikidata.org/entity/Q116107010,The Awakening - Leeds 2023,2023-01-07T00:00:00Z
http://www.wikidata.org/entity/Q116034002,"2023 Enoch, Utah shooting",2023-01-04T00:00:00Z
http://www.wikidata.org/entity/Q116440832,2023 Delhi Republic Day parade,2023-01-26T00:00:00Z
http://www.wikidata.org/entity/Q116552678,7th Urbanisation and Poverty Reduction Research Conference,2023-01-30T00:00:00Z
http://www.wikidata.org/entity/Q116450035,GPRC Summit 2023,2023-01-23T00:00:00Z
http://www.wikidata.org/entity/Q116550551,Marshall McLuhan Lecture 2023,2023-01-31T00:00:00Z
http://www.wikidata.org/entity/Q116060644,Mexico City Metro train collision of 2023,2023-01-07T00:00:00Z
http://www.wikidata.org/entity/Q116603633,Q116603633,2023-01-28T00:00:00Z
http://www.wikidata.org/entity/Q116603633,Q116603633,2023-01-28T00:00:00Z
http://www.wikidata.org/entity/Q116268247,Q116268247,2023-01-19T00:00:00Z
http://www.wikidata.org/entity/Q116142348,Assaut du Congrès brésilien de 2023,2023-01-08T00:00:00Z
http://www.wikidata.org/entity/Q116142348,Assaut du Congrès brésilien de 2023,2023-01-08T00:00:00Z
http://www.wikidata.org/entity/Q116445103,massacre du 26 janvier 2023 à Jénine,2023-01-26T00:00:00Z
http://www.wikidata.org/entity/Q116445103,massacre du 26 janvier 2023 à Jénine,2023-01-26T00:00:00Z
http://www.wikidata.org/entity/Q116257315,Der Freischütz (Papiertheater Invisius) 2023-01-08 18:00,2023-01-08T00:00:00Z
http://www.wikidata.org/entity/Q116151119,Der Freischütz (Papiertheater Invisius) 2023-01-08 15:00,2023-01-08T00:00:00Z
http://www.wikidata.org/entity/Q116456768,Manifestations consécutives à la mort de Tyre Nichols,2023-01-27T00:00:00Z
http://www.wikidata.org/entity/Q116004063,2023 Peruvian protests,2023-01-04T00:00:00Z
http://www.wikidata.org/entity/Q115941150,Décès et funérailles du pape Benoît XVI,2023-01-05T00:00:00Z
http://www.wikidata.org/entity/Q115941150,Décès et funérailles du pape Benoît XVI,2023-01-05T00:00:00Z
http://www.wikidata.org/entity/Q116250881,Wiki Loves Marche 2022 award ceremony,2023-01-07T00:00:00Z
http://www.wikidata.org/entity/Q115941150,Décès et funérailles du pape Benoît XVI,2023-01-05T00:00:00Z
http://www.wikidata.org/entity/Q115941150,Décès et funérailles du pape Benoît XVI,2023-01-05T00:00:00Z
http://www.wikidata.org/entity/Q116257329,2023 fire in Armenian military barracks,2023-01-19T00:00:00Z
